id,date,merchant,amount,category,payment_mode,notes
TX0001,2025-11-01,House Rent,18000,Rent,Net Banking,Monthly rent
TX0016,2025-11-03,Zomato,620,Food,UPI,
TX0002,2025-11-04,Netflix,649,Subscriptions,Card,Monthly subscription
TX0034,2025-11-05,Practo Consult,509,Health,UPI,
TX0013,2025-11-07,D-Mart,3198,Food,UPI,
TX0007,2025-11-08,Cult.fit Gym,1999,Health,UPI,Monthly gym membership
TX0017,2025-11-10,Blinkit,646,Food,UPI,
TX0033,2025-11-10,HealthifyMe,716,Health,UPI,
TX0003,2025-11-11,Spotify,119,Subscriptions,Card,Monthly subscription
TX0014,2025-11-12,D-Mart,2129,Food,UPI,
TX0008,2025-11-14,HMWSSB Water,294,Bills,Net Banking,
TX0020,2025-11-14,BigBasket,2782,Food,UPI,
TX0028,2025-11-16,Croma,11768,Shopping,Card,
TX0004,2025-11-17,YouTube Premium,189,Subscriptions,Card,Monthly subscription
TX0005,2025-11-17,Notion Pro,320,Subscriptions,Card,Monthly subscription
TX0015,2025-11-17,D-Mart,3999,Food,UPI,
TX0023,2025-11-17,Ola,221,Travel,UPI,
TX0021,2025-11-19,Zomato,467,Food,UPI,
TX0024,2025-11-19,Hyderabad Metro,174,Travel,UPI,
TX0010,2025-11-20,D-Mart,2100,Food,UPI,
TX0006,2025-11-21,Amazon Prime,299,Subscriptions,Card,Monthly subscription
TX0018,2025-11-21,D-Mart,1852,Food,UPI,
TX0032,2025-11-21,SonyLIV,463,Entertainment,Card,
TX0031,2025-11-22,SonyLIV,467,Entertainment,Card,
TX0027,2025-11-23,Rapido,156,Travel,UPI,
TX0030,2025-11-23,Hotstar,771,Entertainment,Card,
TX0009,2025-11-25,HMWSSB Water,356,Bills,Card,
TX0026,2025-11-25,Uber,293,Travel,UPI,
TX0022,2025-11-26,Uber,237,Travel,UPI,
TX0025,2025-11-26,Ola,259,Travel,UPI,
TX0011,2025-11-27,Zomato,332,Food,UPI,
TX0012,2025-11-27,Zomato,491,Food,UPI,
TX0019,2025-11-28,Blinkit,520,Food,UPI,
TX0029,2025-11-28,Ajio,2534,Shopping,Card,
TX0035,2025-12-01,House Rent,18000,Rent,Net Banking,Monthly rent
TX0051,2025-12-01,D-Mart,1866,Food,UPI,
TX0066,2025-12-02,Ola,383,Travel,UPI,
TX0073,2025-12-02,BookMyShow,802,Entertainment,Card,
TX0053,2025-12-03,Blinkit,863,Food,UPI,
TX0065,2025-12-04,Ola,95,Travel,UPI,
TX0069,2025-12-04,Ajio,1249,Shopping,UPI,
TX0047,2025-12-06,Blinkit,492,Food,UPI,
TX0074,2025-12-06,PVR Cinemas,1112,Entertainment,Card,
TX0064,2025-12-07,Rapido,118,Travel,UPI,
TX0071,2025-12-07,Flipkart,2804,Shopping,UPI,
TX0054,2025-12-08,Blinkit,787,Food,UPI,
TX0072,2025-12-08,SonyLIV,437,Entertainment,Card,
TX0042,2025-12-09,Airtel Broadband,1352,Bills,Card,
TX0057,2025-12-11,BigBasket,2218,Food,UPI,
TX0068,2025-12-11,Amazon,3209,Shopping,UPI,
TX0041,2025-12-12,Cult.fit Gym,1999,Health,UPI,Monthly gym membership
TX0063,2025-12-13,Hyderabad Metro,116,Travel,UPI,
TX0040,2025-12-15,Amazon Prime,299,Subscriptions,Card,Monthly subscription
TX0048,2025-12-16,D-Mart,3606,Food,UPI,
TX0049,2025-12-16,Zomato,585,Food,UPI,
TX0059,2025-12-16,Rapido,121,Travel,UPI,
TX0052,2025-12-19,Zomato,280,Food,UPI,
TX0038,2025-12-20,YouTube Premium,189,Subscriptions,Card,Monthly subscription
