date,description,category,amount,transaction_type,mode,balance
2026-04-01,SALARY CREDIT APR,Income,50000,credit,NetBanking,50000
2026-04-01,RENT PAYMENT,Rent,16000,debit,UPI,34000
2026-04-02,SWIGGY ORDER,Food,350,debit,UPI,33650
2026-04-02,BIGBASKET,Grocery,2100,debit,UPI,31550
2026-04-03,HP PETROL,Transport,1300,debit,Debit Card,30250
2026-04-03,UBER TRIP,Transport,240,debit,UPI,30010
2026-04-04,ZOMATO,Food,420,debit,UPI,29590
2026-04-04,STARBUCKS,Food,300,debit,Credit Card,29290
2026-04-05,AMAZON SHOPPING,Shopping,2500,debit,Credit Card,26790
2026-04-05,NETFLIX,Entertainment,649,debit,AutoPay,26141
2026-04-06,ELECTRICITY BILL,Utilities,1800,debit,NetBanking,24341
2026-04-06,MEDPLUS PHARMACY,Health,500,debit,UPI,23841
2026-04-07,BLINKIT,Grocery,800,debit,UPI,23041
2026-04-07,OLA RIDE,Transport,220,debit,UPI,22821
2026-04-08,DOMINOS,Food,620,debit,UPI,22201
2026-04-08,MYNTRA,Shopping,2800,debit,Credit Card,19401
2026-04-09,WATER BILL,Utilities,450,debit,NetBanking,18951
2026-04-09,PETROL PUMP,Transport,1100,debit,Debit Card,17851
2026-04-10,UPI/SWIGGY/BLR,Food,370,debit,UPI,17481
2026-04-10,PHARMACY STORE,Health,320,debit,UPI,17161
2026-04-11,AMZN MKTPLACE PMTS,Shopping,1800,debit,Credit Card,15361
2026-04-11,INTERNET BILL,Utilities,999,debit,AutoPay,14362
2026-04-12,UNKNOWN-UPI-TRX-22,REVIEW_REQUIRED,850,debit,UPI,13512
2026-04-12,UBER,Transport,250,debit,UPI,13262
2026-04-13,SWIGGY,Food,420,debit,UPI,12842
2026-04-13,PVR MOVIES,Entertainment,600,debit,Credit Card,12242
2026-04-14,GROCERY STORE,Grocery,2000,debit,Debit Card,10242
2026-04-14,STARBUCKS,Food,260,debit,Credit Card,9982
2026-04-15,AMAZON ELECTRONICS,Shopping,3500,debit,Credit Card,6482
2026-04-15,UPI TO FRIEND,P2P,600,debit,UPI,5882
2026-04-16,PETROL,Transport,1200,debit,Debit Card,4682
2026-04-16,ZOMATO,Food,390,debit,UPI,4292
2026-04-17,PHARMACY,Health,430,debit,UPI,3862
2026-04-17,SWIGGY,Food,350,debit,UPI,3512
2026-04-18,MOBILE RECHARGE,Utilities,300,debit,UPI,3212
2026-04-18,BLINKIT,Grocery,700,debit,UPI,2512
2026-04-19,UPI CREDIT,P2P,2500,credit,UPI,5012
2026-04-19,DOMINOS,Food,610,debit,UPI,4402
2026-04-20,SHOPPING MALL,Shopping,2200,debit,Credit Card,2202
2026-04-21,BONUS CREDIT,Income,12000,credit,NetBanking,14202
2026-04-21,SWIGGY,Food,320,debit,UPI,13882
2026-04-22,PETROL PUMP,Transport,1000,debit,Debit Card,12882
2026-04-22,NETFLIX,Entertainment,649,debit,AutoPay,12233
2026-04-23,GROCERY,Grocery,1900,debit,Debit Card,10333
2026-04-23,OLA,Transport,240,debit,UPI,10093
2026-04-24,ZOMATO,Food,450,debit,UPI,9643
2026-04-24,MEDICAL STORE,Health,350,debit,UPI,9293
2026-04-25,AMAZON,Shopping,1600,debit,Credit Card,7693
2026-04-25,ELECTRICITY,Utilities,1500,debit,NetBanking,6193
2026-04-26,UNKNOWN MERCHANT XZ,REVIEW_REQUIRED,900,debit,UPI,5293
2026-04-26,BLINKIT,Grocery,720,debit,UPI,4573
2026-04-27,PETROL,Transport,1100,debit,Debit Card,3473
2026-04-27,UPI CREDIT,P2P,2000,credit,UPI,5473
2026-04-28,DOMINOS,Food,650,debit,UPI,4823
2026-04-29,SHOPPING,Shopping,2300,debit,Credit Card,2523
2026-04-30,GROCERY,Groceries,1100,debit,Debit Card,1423

2026-05-01,SALARY CREDIT MAY,Income,50000,credit,NetBanking,51423
2026-05-01,RENT PAYMENT,Rent,16000,debit,UPI,35423
2026-05-02,SWIGGY,Food,360,debit,UPI,35063
2026-05-02,BIGBASKET,Grocery,2200,debit,UPI,32863
2026-05-03,PETROL,Transport,1300,debit,Debit Card,31563
2026-05-03,UPI RANDOM REF,REVIEW_REQUIRED,780,debit,UPI,30783
